sentence_id,text,tags
train-s11,Txara 1 Egoitzako sukalderako ekipamendua erostea .,PROPN NUM NOUN NOUN NOUN VERB PUNCT

train-s12,"atzerritarren sarbidea , beraz , eskaera onartzen zaien baldintzapean gertatzen da .",ADJ NOUN PUNCT CCONJ PUNCT NOUN VERB AUX ADV VERB AUX PUNCT

train-s13,""" Jokalari apartak ditu .",PUNCT NOUN ADJ VERB PUNCT

train-s14,"Donostiako aurrelariak entrenamendua normaltasunez amaitu bazuen ere , etxera heltzean buruko mina zuelako , ospitalera joatea erabaki zuen .",PROPN NOUN NOUN NOUN VERB AUX CCONJ PUNCT NOUN VERB NOUN NOUN VERB PUNCT NOUN VERB VERB AUX PUNCT

train-s15,""" Une haietan ez hinduan posta arazoak kezkatzen , gutunean ageri zen hitz guzti eta bakoitzaren egokitasunak baizik .",PUNCT NOUN DET PART AUX NOUN NOUN VERB PUNCT NOUN ADJ AUX NOUN DET CCONJ ADJ NOUN CCONJ PUNCT

train-s16,EEBBak zain zeuden Steinen txostenak zer bilduko zuen jakiteko .,PROPN ADV VERB PROPN NOUN DET VERB AUX VERB PUNCT

train-s17,"Aipaturiko entrenamenduan 50 zale bildu zen Aguilerako harmailetan , eta hori esanguratsua da .",VERB NOUN NUM ADJ VERB AUX PROPN NOUN PUNCT CCONJ DET ADJ AUX PUNCT

train-s18,"Bestalde , bi aktoreek Pere Planella zuzendariaren lana azpimarratu zuten , esperientzia handiko gizona baita antzerkigintzan .",CCONJ PUNCT NUM NOUN PROPN PROPN NOUN NOUN VERB AUX PUNCT NOUN ADJ NOUN AUX NOUN PUNCT

train-s19,- esan zuen Joanak barrez - .,PUNCT VERB AUX PROPN NOUN PUNCT PUNCT

train-s20,Bi zati hauek markaturik dauden tokietatik tolesten dira .,NUM NOUN DET VERB AUX NOUN VERB AUX PUNCT

train-s21,"Sarea eratua da , baina arrantzan frogatu beharra dago .",NOUN VERB AUX PUNCT CCONJ NOUN VERB NOUN VERB PUNCT

train-s22,""" Tourrean ez egotearen arrazoietako bat dirua da .",PUNCT NOUN PART VERB NOUN NUM NOUN AUX PUNCT

train-s23,"Jackson Richardson eta Ambros Montenegron dira , baina frantziarrak minduta du ezker belauna , eta Ambrosek bizkarra .",PROPN PROPN CCONJ PROPN PROPN AUX PUNCT CCONJ NOUN VERB AUX ADJ NOUN PUNCT CCONJ PROPN NOUN PUNCT

train-s24,"Besterik ez dugu egin , eta 1.000 lagunek esaten dute hori bera egin dutela .",DET PART AUX VERB PUNCT CCONJ NUM NOUN VERB AUX DET DET VERB AUX PUNCT

train-s25,"Urtarrilean nahasmendu guztia iragan zenean , gorantz egin genuen , eta Tolosari irabazi egin genion .",NOUN NOUN DET VERB AUX PUNCT ADV VERB AUX PUNCT CCONJ PROPN VERB VERB AUX PUNCT

train-s26,Nortasunaren heriotza da .,NOUN NOUN VERB PUNCT

train-s27,Oso gaztea zenean euskal gizartea ikertzen hasi zen .,ADV ADJ AUX NOUN NOUN VERB VERB AUX PUNCT

train-s28,"Seietan hiri osoa geldi zegoen , laranjen garaipena ikusteko .",NUM NOUN ADJ ADV AUX PUNCT NOUN NOUN NOUN PUNCT

train-s29,Aurpegi alaiagoa zeukan zinema-aretotik jalgi eta ostera ibilaldiari lotu zitzaionean .,NOUN ADJ VERB NOUN VERB CCONJ ADV NOUN VERB AUX PUNCT

train-s30,Dagoeneko ospakizunak prestatzen hasi dira .,ADV NOUN VERB VERB AUX PUNCT

train-s31,"Morenoren kasuan berriz , Ivan Alonso uruguaiarrak hamaikakoan bere lekua hartuko duela dirudi .",PROPN NOUN CCONJ PUNCT PROPN PROPN ADJ NOUN DET NOUN VERB AUX VERB PUNCT

train-s32,"Errealista izan behar da , eta badakit iazkoa berdintzea oso zaila izango dela .",ADJ AUX NOUN VERB PUNCT CCONJ VERB NOUN VERB ADV ADJ AUX AUX PUNCT

train-s33,"Azken partiduetan itxura ona eman duten arren , Osasunako jokalariek bost partidu daramatzate jarraian garaipenik lortu gabe .",ADJ NOUN NOUN ADJ VERB AUX CCONJ PUNCT PROPN NOUN NUM NOUN VERB ADV NOUN VERB ADV PUNCT

train-s34,"Virgilioren euskal biziak ez du ikuspegi orokor honen mugetatik ihes egiten , are gehiago , honen adibide onena da .",PROPN NOUN NOUN PART AUX NOUN ADJ DET NOUN NOUN VERB PUNCT NOUN NOUN PUNCT DET NOUN ADJ VERB PUNCT

train-s35,"Errioxarraren tokian Asier Olaizola ariko da , eta Oscar Lasa hartu du bikote .",NOUN NOUN PROPN PROPN VERB AUX PUNCT CCONJ PROPN PROPN VERB AUX NOUN PUNCT

train-s36,"Gure bikiek apartamendu txikian bizi behar zuten , etxeen prezioak uxatzearren .",PRON NOUN NOUN ADJ NOUN NOUN VERB PUNCT NOUN NOUN VERB PUNCT

train-s37,"Zoroastrismoa , segi dezagun irudikatzen , pentsa litekeen erlijio zuzen , ireki eta ederrena da .",NOUN PUNCT VERB AUX VERB PUNCT VERB AUX NOUN ADJ PUNCT VERB CCONJ ADJ AUX PUNCT

train-s38,"Diktadurako biktimen aldeen abokatuak , berriz , atsekabetuta azaldu ziren eta Goreneko lehendakariarekin biltzeko eskatu zuten .",NOUN NOUN NOUN NOUN PUNCT CCONJ PUNCT VERB VERB AUX CCONJ ADJ NOUN VERB VERB AUX PUNCT

train-s39,"Zinismo , hipokresia eta gezur politiko lotsagarrienen garaian bizi garenean ezin zaie eskatu presoei beste inon inork erakusten ez duen zintzotasun eta integritate ikaragarri hori .",NOUN PUNCT NOUN CCONJ NOUN ADJ ADJ NOUN ADJ VERB NOUN VERB VERB NOUN DET ADV PRON VERB PART AUX NOUN CCONJ NOUN ADJ DET PUNCT

train-s40,Atzo aritzekoa zen berarekin .,ADV VERB AUX DET PUNCT

train-s41,Dennis Bergkamp aurrelari holandarrak ez du selekzioarekin gehiago jokatuko .,PROPN PROPN NOUN ADJ PART AUX NOUN DET VERB PUNCT

train-s42,"Gamesaren akzioak %72,46 igo dira burtsako estrenaldian .",PROPN NOUN NUM VERB AUX NOUN NOUN PUNCT

train-s43,Mende honen berrogeigarren hamarkadan oraindik Nafarroako Sakana bailarako haurrek jotzen zituzten txulubita hauek .,NOUN DET ADJ NOUN ADV PROPN PROPN NOUN NOUN VERB AUX NOUN DET PUNCT

train-s44,Bederatzi gol ez dira egunero sartzen .,NUM NOUN PART AUX ADV VERB PUNCT

train-s45,"Ez zuten atzeko koadroetatik inoiz barkatu , eta bakoitzak bere aukerak bikain profitatu zituen .",PART AUX NOUN NOUN ADV VERB PUNCT CCONJ ADJ DET NOUN ADJ VERB AUX PUNCT

train-s46,"Armadako base militarraren atarian geratu ziren , belauniko , kandela eta loreekin .",NOUN NOUN ADJ NOUN VERB AUX PUNCT ADV PUNCT NOUN CCONJ NOUN PUNCT

train-s47,"Uberako atzelariak , ordea , partidu borobila jokatu zuen , eta Go�iren laguntzarekin , markagailuak itzuliko berri bat izan zuen ( 20-18 ) .",PROPN NOUN PUNCT CCONJ PUNCT NOUN ADJ VERB AUX PUNCT CCONJ PROPN NOUN PUNCT NOUN NOUN ADJ NUM VERB AUX PUNCT NUM PUNCT PUNCT

train-s48,- esan nuen - .,PUNCT VERB AUX PUNCT PUNCT

train-s49,"Hizkuntza-heldutasuna neurtzeko era hau Brown ( 1976 ) ikerlariak asmatu zuen haurren hizkuntza-maila mugatzeko helburuagaz , eta euskararentzat Idizabalek ( 1991a ) egokitu du .",NOUN VERB NOUN DET PROPN PUNCT NUM PUNCT NOUN VERB AUX NOUN NOUN VERB NOUN PUNCT CCONJ NOUN PROPN PUNCT NOUN PUNCT VERB AUX PUNCT

train-s50,"Halere , noizbehinka zartako batzuk ematen dizkiot .",CCONJ PUNCT ADV NOUN DET VERB AUX PUNCT

train-s51,"Ekainaren 14an premiazko ebakuntza egin behar izan zioten Schusterri , heste lodian zuloa zuelako , eta hilzorian izan zen bi astez .",NOUN NUM ADJ NOUN VERB NOUN VERB AUX PROPN PUNCT NOUN ADJ NOUN VERB PUNCT CCONJ NOUN VERB AUX NUM NOUN PUNCT

train-s52,Nazio Batuen Erakundea izan zen bitartekari eta hark hartu zuen prozesua zaintzeko ardura .,NOUN ADJ NOUN AUX AUX NOUN CCONJ DET VERB AUX NOUN VERB NOUN PUNCT

train-s53,""" sentsazioa uzten dute .",PUNCT NOUN VERB AUX PUNCT

train-s54,Ikusteko dago indizeek gorako bideari modu sendoagoan helduko dioten .,VERB VERB NOUN ADV NOUN NOUN ADJ VERB AUX PUNCT

train-s55,Zaharren egoitzaren mugakide den lursailaren erabilera definituko da .,NOUN NOUN NOUN AUX NOUN NOUN VERB AUX PUNCT

train-s56,"Ez zizkigun kontratuaren baldintzak zehatz-mehatz agertu , baina ongi bizitzeko moduan direla esan zigun .",PART AUX NOUN NOUN ADV VERB PUNCT CCONJ ADV VERB NOUN VERB VERB AUX PUNCT

train-s57,Nafarroako errege-erreginei lotutako hiria baitzen .,PROPN NOUN VERB NOUN VERB PUNCT

train-s58,Zulatu zapata kaxa .,VERB NOUN NOUN PUNCT

train-s59,"Baina , oraindik , 90 minutu ditugu aurrean ametsa egia bihurtzeko "" .",CCONJ PUNCT ADV PUNCT NUM NOUN VERB NOUN NOUN NOUN VERB PUNCT PUNCT

train-s60,"Boza aldatuz , galdegiten dit :",NOUN VERB PUNCT VERB AUX PUNCT

train-s61,Franco Squillari argentinarra eta Ekuadorko Nicolas Lapentti ere kanpora gelditu dira .,PROPN PROPN ADJ CCONJ PROPN PROPN PROPN CCONJ NOUN VERB AUX PUNCT

train-s62,Kostaldeko lur problemak ere aipatu zituzten .,NOUN NOUN NOUN CCONJ VERB AUX PUNCT

train-s63,"Ez dugu ahantzi , baina aitzinean hobeto lotuko gara .",PART AUX VERB PUNCT CCONJ NOUN ADV VERB AUX PUNCT

train-s64,Dozenaka soldadu errusiar hil dituztela diote gerrillariek .,DET NOUN ADJ VERB AUX VERB NOUN PUNCT

train-s65,""" Komunikabideetan irakurri dut gu ez gaudela gustura Txomin Perurena eta Lakarekin "" .",PUNCT NOUN VERB AUX PRON PART VERB ADV PROPN PROPN CCONJ PROPN PUNCT PUNCT

train-s66,Francine-k ikusi zuen gizona sartzen .,PROPN VERB AUX NOUN VERB PUNCT

train-s67,Baina hau jaiki gabe zegoen oraindik .,CCONJ DET VERB ADV VERB ADV PUNCT

train-s68,"Horrela , Bonneren parte-hartze garrantzitsu batekin , berdintasuna eraman zuten markagailura .",ADV PUNCT PROPN NOUN ADJ NUM PUNCT NOUN VERB AUX NOUN PUNCT

train-s69,Gorte berak erabakiko gaur Floridako konderri batean eskuz zenbatzen hasi ziren boto txartelak kontuan hartu beharko diren .,NOUN DET VERB ADV PROPN NOUN NUM NOUN VERB VERB AUX NOUN NOUN NOUN VERB VERB AUX PUNCT

train-s70,Jar itzazu prezipitatu-ontzian izotz-kubo batzuk txikituta eta piztu metxeroa .,VERB AUX NOUN NOUN DET VERB CCONJ VERB NOUN PUNCT

train-s71,"Ondoren , Lausanna utzi eta Bartzelonara itzuliko da , behin agindupean izan zuen hirira .",ADV PUNCT PROPN VERB CCONJ PROPN VERB AUX PUNCT ADV NOUN VERB AUX NOUN PUNCT

train-s72,"Bere agintepean , lurralde zelaiaren eta larre gozoaren aukerak bete-betean baliaturik , arrunt ugaritu zen ardia urte gutxian :",DET NOUN PUNCT NOUN NOUN CCONJ NOUN ADJ NOUN ADV VERB PUNCT ADV VERB AUX NOUN NOUN DET PUNCT

train-s73,Chevenement kasuari konponbide bat eman beharko dio irailerako Jospinek .,PROPN NOUN NOUN NUM VERB VERB AUX NOUN PROPN PUNCT

train-s74,Egia da badituela elementuak :,NOUN AUX VERB NOUN PUNCT

train-s75,Bihar ponentzia bakarra eta sei ebazpenak eztabaidatu eta bozkatuko dituzte .,ADV NOUN ADJ CCONJ NUM NOUN VERB CCONJ VERB AUX PUNCT

train-s76,""" Argazkia ikusmenezko hautespen-sistema bat da .",PUNCT NOUN NOUN NOUN NUM AUX PUNCT

train-s77,( Emaztegaiak sartzen dira .,PUNCT NOUN VERB AUX PUNCT

train-s78,Moskuk Txetxenian izendatutako agintariordea atentatuz hil dute .,PROPN PROPN VERB NOUN NOUN VERB AUX PUNCT

train-s79,""" Osasuna oso talde sendoa da , izugarri diziplinatua eta atzean oso ondo aritzen dena .",PUNCT PROPN ADV NOUN ADJ AUX PUNCT ADV VERB CCONJ NOUN ADV ADV VERB AUX PUNCT

train-s80,"Gu ere gogor defenditzen saiatuko gara , hor erabakiko baita norgehiagoka "" .",PRON CCONJ ADV VERB VERB AUX PUNCT ADV VERB AUX NOUN PUNCT PUNCT

train-s81,"Nire helburua taldekako erlojupekoa da ; hura ondo eginaz gero , nire lana egina dut .",PRON NOUN ADV NOUN AUX PUNCT DET ADV VERB ADV PUNCT PRON NOUN VERB VERB PUNCT

train-s82,"Nazioarteko laburretako lehen albistea da , argazkia duen bakarra .",ADJ ADJ ADJ NOUN AUX PUNCT NOUN VERB ADJ PUNCT

train-s83,Israelgo bederatzi herritar zibil arabiar hil dituzte Poliziak eta Armadak .,PROPN NUM NOUN ADJ ADJ VERB AUX NOUN CCONJ NOUN PUNCT

train-s84,Txapelketaren hasieran pronostiko batzuk egin zituzten hamasei selekzionatzaileek ; horra zer hanka sartze egin zituzten :,NOUN NOUN NOUN DET VERB AUX NUM NOUN PUNCT ADV DET NOUN VERB VERB AUX PUNCT

train-s85,"MaCrae errepidetik atera zen , Carlos Sainz espainiarrari denbora urratu nahiean zebilela .",PROPN NOUN VERB AUX PUNCT PROPN PROPN ADJ NOUN VERB ADV VERB PUNCT

train-s86,"Itxura batean , batzuk eta besteak aldenduta , hobeto hezi daitezke bai neskak eta bai mutilak .",NOUN NUM PUNCT DET CCONJ DET VERB PUNCT ADV VERB AUX PART NOUN CCONJ PART NOUN PUNCT

train-s87,"Baskonia argi ibili zen orduan , eta pasaporte italiarra zeukan beste argentinar bat fitxatu zuen :",PROPN ADV VERB AUX ADV PUNCT CCONJ NOUN ADJ VERB DET NOUN NUM VERB AUX PUNCT

train-s88,Eta siluetak galdu nituen nik begitatik .,CCONJ NOUN VERB AUX PRON NOUN PUNCT

train-s89,Beste hautagaiek zail izango dute oso Lakersi eta Portlandi gailentzea .,DET NOUN ADJ VERB AUX ADV PROPN CCONJ PROPN VERB PUNCT

train-s90,Ez primadera izan behar zunan .,PART NOUN AUX NOUN VERB PUNCT

train-s91,"Haiti mendebaldeko hemisferioko herrialderik pobreena da , eta ustelkeria da nagusi bertan .",PROPN NOUN NOUN NOUN ADJ AUX PUNCT CCONJ NOUN AUX ADJ ADV PUNCT

train-s92,- Oihal batez lurrak berak hartuko du behar duen ura .,PUNCT NOUN NUM NOUN DET VERB AUX NOUN VERB NOUN PUNCT

train-s93,"Baina hor izan ziren , eta hori da kontua .",CCONJ ADV VERB AUX PUNCT CCONJ DET AUX NOUN PUNCT

train-s94,"Ezen , BEAko txostenean irakur daitekeenez , Concordea zerbitzuan jarri zenetik keroseno ontzietan sei aldiz gertatu dira kaltetzeak , baina sekula ez zen erregaiak su hartzerik gertatu .",CCONJ PUNCT PROPN NOUN VERB AUX PUNCT PROPN NOUN VERB AUX NOUN NOUN NUM NOUN VERB AUX VERB PUNCT CCONJ ADV PART AUX NOUN NOUN VERB VERB PUNCT

train-s95,Ez zekiela erantzutean nagitasun adierazpena azpimarratu nahi izan zuen .,PART VERB VERB NOUN NOUN VERB NOUN VERB AUX PUNCT

train-s96,"Fosilak deritze ( latinezko hitzetik eratorritako hitza da , eta lurretik ateratakoa esan nahi du ) .",NOUN VERB PUNCT NOUN NOUN VERB NOUN AUX PUNCT CCONJ NOUN VERB VERB NOUN VERB PUNCT PUNCT

train-s97,BBCko web orrian ere jasotzen da berria .,PROPN NOUN NOUN CCONJ VERB AUX NOUN PUNCT

train-s98,Larunbatean Narancoko 34. Igoera jokatuko da .,NOUN PROPN ADJ NOUN VERB AUX PUNCT

train-s99,Sagardoa etxean edateko zen .,NOUN NOUN VERB VERB PUNCT

train-s100,ARRATSALDEKO 19:20ak ziren Wasserbilligeko haurtzaindegia inguratzen zuten Polizia indarretako eliteko unitateek erasoa hasi zutelarik .,NOUN NUM VERB PROPN NOUN VERB AUX NOUN NOUN NOUN NOUN NOUN VERB AUX PUNCT

train-s101,"Zuzenketak aurkeztutako alderdiek hainbat arlotan sumatu dituzten "" gabeziak "" salatu zituzten :",NOUN VERB NOUN DET NOUN VERB AUX PUNCT NOUN PUNCT VERB AUX PUNCT

train-s102,Houdaren amak menta hostoekin prestatzen du tea .,PROPN NOUN NOUN NOUN VERB AUX NOUN PUNCT

train-s103,"Cipollinik barkamena eskatu dio Cerezori , "" burua galdu "" zuela argudiatuz .",PROPN NOUN VERB AUX PROPN PUNCT PUNCT NOUN VERB PUNCT AUX VERB PUNCT

train-s104,"Anek hurbiltzeko eskatzen zion besaulkitik , eta Abel Osak obeditu egin zion .",PROPN VERB VERB AUX NOUN PUNCT CCONJ PROPN PROPN VERB VERB AUX PUNCT

train-s105,"Garaipena eskura izango zutela zirudien , baina galtzaileek buelta eman zioten markagailuari ( 15-16 ) .",NOUN ADV VERB AUX VERB PUNCT CCONJ NOUN NOUN VERB AUX NOUN PUNCT NUM PUNCT PUNCT

train-s106,Nafarroako hauteskundeak baliogabetu egin dituzte .,PROPN NOUN VERB VERB AUX PUNCT

train-s107,"Polarizazio zuzenean dagoela atetik korrontea ( tentsio positiboko inpultsua ) aplikatzen badiogu , eroale bihurtzen da tiristorea .",NOUN ADJ VERB NOUN NOUN PUNCT NOUN ADJ NOUN PUNCT VERB AUX PUNCT NOUN VERB AUX NOUN PUNCT

train-s108,Iparraldekoak izan ziren gehienak .,NOUN AUX AUX DET PUNCT

train-s109,Irabazi hauek zergen ostekoak dira .,NOUN DET NOUN NOUN AUX PUNCT

train-s110,Urtemuga ospatzeko entitatearen Donostiako egoitza nagusian ekitaldi berezia egin zen eta bertan izan ziren Gipuzkoako hainbat erakundetako eta enpresa munduko ordezkariak .,NOUN VERB NOUN PROPN NOUN ADJ NOUN ADJ VERB AUX CCONJ ADV VERB AUX PROPN DET NOUN CCONJ NOUN NOUN NOUN PUNCT

train-s111,"Pertsona batekin imajinatzen zenuen hurbiltasun xamurretik urruntzea , latza da .",NOUN NUM VERB AUX NOUN ADJ VERB PUNCT ADJ AUX PUNCT

train-s112,Jende ugari bildu zuen aurkezpen ekitaldiak .,NOUN DET VERB AUX NOUN NOUN PUNCT

train-s113,Koxtapek ez zuen aurkaririk izan Pasaian .,PROPN PART AUX NOUN VERB PROPN PUNCT

train-s114,"Andereseroraeneko aintzinean iraganen da , laborari gazteen batasunak apailaturik .",PROPN NOUN VERB AUX PUNCT NOUN ADJ NOUN VERB PUNCT

train-s115,Gabiriako adarra da hori .,PROPN NOUN AUX DET PUNCT

train-s116,Bideak argia izan behar duela azaldu zuen .,NOUN ADJ AUX NOUN VERB VERB AUX PUNCT

train-s117,"Mendilerroak daude , ala mazizoak ?",NOUN VERB PUNCT CCONJ NOUN PUNCT

train-s118,"Bere eleberriek , ondorengo idazle askori , jarraitu beharreko bidea irakatsi diete .",DET NOUN PUNCT ADJ NOUN DET PUNCT VERB NOUN NOUN VERB AUX PUNCT

train-s119,"Vitaliciok Giro honetan lortzen duen hirugarren garaipena da , eta hori ere oso garrantzitsua dela zioen :",PROPN NOUN DET VERB AUX ADJ NOUN AUX PUNCT CCONJ DET CCONJ ADV ADJ AUX VERB PUNCT

train-s120,"Ibilbidean Egues , Ultzama , Elortz , Xulapain , Arakil eta Salado ibaien urak hartzen ditu ; 149 km .",NOUN PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN PUNCT PROPN CCONJ PROPN NOUN NOUN VERB AUX PUNCT NUM SYM PUNCT

train-s121,"Bukaeran erritmoa asko igo da , ordurako indarrik ez zegoen eta azkenean denbora txarra egin dugu "" .",NOUN NOUN ADV VERB AUX PUNCT ADV NOUN PART VERB CCONJ ADV NOUN ADJ VERB AUX PUNCT PUNCT

train-s122,Gaur jokatuko dute txapelketa horretako finala Jennifer Capriati estatubatuarrak eta Magdalena Maleeva bulgariarrak .,ADV VERB AUX NOUN DET NOUN PROPN PROPN ADJ CCONJ PROPN PROPN ADJ PUNCT

train-s123,"Beno , egoera larri-larria da , eta uste dugu horri irtenbidea eman behar zaiola .",INTJ PUNCT NOUN NOUN AUX PUNCT CCONJ NOUN VERB DET NOUN VERB NOUN VERB PUNCT

train-s124,"Konposatuak , prozedura kimikoak erabiliz beste sinpleago batzuetan bana daitezkeen substantzia puruak dira , eta bakunak , berriz , metodo kimikoak erabiliz ere sinpleagoetan bana ezin daitezkeenak .",NOUN PUNCT NOUN ADJ VERB DET ADJ DET VERB AUX NOUN ADJ AUX PUNCT CCONJ ADJ PUNCT CCONJ PUNCT NOUN ADJ VERB CCONJ ADJ VERB NOUN AUX PUNCT

train-s125,"Elkartasuna ezin da izan une larrietan laguntza emate soila , konponezinezko ezbeharrak gertatu direnean negarrez hastea .",NOUN NOUN VERB AUX NOUN ADJ NOUN NOUN ADJ PUNCT ADJ NOUN VERB AUX ADV VERB PUNCT

train-s126,"Aurreneko bi harriekin gogor jo zuen azkoitiarrak , eta 925 kiloko aldea atera zion Ostolazari .",ADJ NUM NOUN ADV VERB AUX NOUN PUNCT CCONJ NUM NOUN NOUN VERB AUX PROPN PUNCT

train-s127,""" Handitan maistra izan nahi nuke ume txikiei irakasteko "" .",PUNCT ADJ NOUN AUX NOUN VERB NOUN ADJ VERB PUNCT PUNCT

train-s128,""" ONCE izango da protagonista Tour honetan "" .",PUNCT PROPN AUX AUX NOUN PROPN DET PUNCT PUNCT

train-s129,Argi bat piztu eta ate bat ireki zuen .,NOUN NUM VERB CCONJ NOUN NUM VERB AUX PUNCT

train-s130,"Gorriak amore emateko ez , eta 10-11 hurbildu ziren .",NOUN NOUN VERB PART PUNCT CCONJ NUM VERB AUX PUNCT

train-s131,"Aldaketa fisiko garrantzitsu hauek izango ditugu , beraz , unitateko ikasgai nagusiak .",NOUN ADJ ADJ DET AUX AUX PUNCT CCONJ PUNCT NOUN NOUN ADJ PUNCT

train-s132,Espainian korritu nahi dut .,PROPN VERB NOUN VERB PUNCT

train-s133,"Jokalariei dagokienez , ikusi beharko da Dagerre errekuperatzen den .",NOUN VERB PUNCT VERB VERB AUX PROPN VERB AUX PUNCT

train-s134,Beste hirurak jokatzeko moduan izango dira .,DET NUM VERB NOUN VERB AUX PUNCT

train-s135,"Jarraian , Felixen istripua nola gertatu zen azaldu zuen Albertok :",ADV PUNCT PROPN NOUN ADV VERB AUX VERB AUX PROPN PUNCT

train-s136,Mendiko kirol desberdinetan ezagutza eta esperientzia maila bat eskatzen da .,NOUN NOUN ADJ NOUN CCONJ NOUN NOUN NUM VERB AUX PUNCT

train-s137,"Alemaniak eraman zuen urrea , Hungariak zilarra eta Errumaniak brontzea .",PROPN VERB AUX NOUN PUNCT PROPN NOUN CCONJ PROPN NOUN PUNCT

train-s138,""" Taldea ezagutuz , ezin nezake ezer erran .",PUNCT NOUN VERB PUNCT NOUN AUX PRON VERB PUNCT

train-s139,"Nago - xelebrekeria hau aipatuz bukatzeko - lehenengo eklogak , Miangolarraren itzulpenean , kolore etxetiar berezi bat hartzen duela :",VERB PUNCT NOUN DET VERB VERB PUNCT ADJ NOUN PUNCT ADJ NOUN PUNCT NOUN ADJ ADJ NUM VERB AUX PUNCT

train-s140,Whist jokoa aspaldi ezagutu zen kalkulu-ahalmenean zuen eraginagatik :,PROPN NOUN ADV VERB AUX NOUN VERB NOUN PUNCT

train-s141,To gizarteratzea !,INTJ VERB PUNCT

train-s142,Zurtoin mardul bat aukeratu eta lur harroa duen lorapote batean alanbre batez sartuta eusten da .,NOUN ADJ NUM VERB CCONJ NOUN ADJ VERB NOUN NUM NOUN NUM VERB VERB AUX PUNCT

train-s143,"Bere berbetan , "" tolerantziatik abiatuta guztiontzat izango den gobernua osatu nahi dugu , eta hiru ardatz nagusi izango ditu :",DET NOUN PUNCT PUNCT NOUN VERB DET VERB AUX NOUN VERB NOUN VERB PUNCT CCONJ NUM NOUN ADJ VERB AUX PUNCT

train-s144,"Mozioen ebazpena "" etsigarria "" izan da , Oiartzabalen ustez .",NOUN NOUN PUNCT ADJ PUNCT AUX AUX PUNCT PROPN NOUN PUNCT

train-s145,Interren edo Lazion jokatzea oso zaila da .,PROPN CCONJ PROPN VERB ADV ADJ AUX PUNCT

train-s146,Asier Del Horno gazteak joka dezake atzealdeko ezker hegalean .,PROPN X PROPN ADJ VERB AUX NOUN ADJ NOUN PUNCT

train-s147,"Bilbon , ostera , denak gripeak jota hil dira , HIESak ez du inor hiltzen Bilbon .",PROPN PUNCT CCONJ PUNCT DET NOUN VERB VERB AUX PUNCT NOUN PART AUX PRON VERB PROPN PUNCT

train-s148,"Kaktusetan , adibidez , drenajea errazteko legar-kopurua handiagotu edo hartxintxarra gehituko dugu .",NOUN PUNCT ADV PUNCT NOUN VERB NOUN VERB CCONJ NOUN VERB AUX PUNCT

